ticker,selection_count,total_pnl_dollars,average_pnl_dollars,win_rate,worst_trade_pnl_dollars,worst_account_return_pct,contribution_to_total_profit_pct,contribution_to_total_loss_pct,max_consecutive_losses
HOOD,2,56.89173905399866,28.44586952699933,1.0,12.698516381399997,0.11461073939426158,0.16358235275891062,0.0,0
ACHR,1,41.26849895749777,41.26849895749777,1.0,41.26849895749777,0.1843943076636114,0.11866042885222108,0.0,0
OKLO,1,40.11991197967532,40.11991197967532,1.0,40.11991197967532,0.267956980916973,0.11535786571555709,0.0,0
JOBY,1,38.235670227323254,38.235670227323254,1.0,38.235670227323254,0.17409067098235934,0.10994005455102634,0.0,0
HPE,4,29.416933758599527,7.354233439649882,0.5,-7.997460057939776,-0.05434139206447861,0.13037044102720172,0.059379761388838666,2
IREN,1,26.434378630501882,26.434378630501882,1.0,26.434378630501882,0.21894307325433376,0.07600748231642322,0.0,0
PLTR,3,23.894426862444192,7.964808954148064,0.6666666666666666,-6.84714676775252,-0.04919873504521023,0.08839207634637095,0.02553241137118043,1
AI,1,23.32199908447268,23.32199908447268,1.0,23.32199908447268,0.1355203140259543,0.06705837340739643,0.0,0
CCJ,1,10.287480526515424,10.287480526515424,1.0,10.287480526515424,0.0775091296510021,0.02957987040775105,0.0,0
SMCI,3,-2.545541716984303,-0.8485139056614344,0.3333333333333333,-8.282342733110681,-0.08727104392664296,0.031148781475783264,0.04988788415229757,2
RIVN,3,-4.259149570056309,-1.419716523352103,0.3333333333333333,-16.02489820861814,-0.08039466172600424,0.0699022731413584,0.10653584639063145,1
F,2,-10.947560031618337,-5.473780015809169,0.0,-6.339645986557002,-0.04432899471303009,0.0,0.040822493765490034,2
SOFI,1,-14.286940311704342,-14.286940311704342,0.0,-14.286940311704342,-0.0781022841480414,0.0,0.05327475073148899,1
KTOS,1,-15.801786218643173,-15.801786218643173,0.0,-15.801786218643173,-0.06594863042319433,0.0,0.05892347861360018,1
NVAX,1,-15.937573979241492,-15.937573979241492,0.0,-15.937573979241492,-0.11661023735290654,0.0,0.05942981929540006,1
PATH,1,-19.08302080590383,-19.08302080590383,0.0,-19.08302080590383,-0.09446617014376302,0.0,0.07115891537710677,1
BBAI,1,-21.219222138813535,-21.219222138813535,0.0,-21.219222138813535,-0.09505616121332852,0.0,0.07912462329217419,1
INTC,2,-30.435420291900584,-15.217710145950292,0.0,-18.613287100110682,-0.07218188690623546,0.0,0.1134910200563215,2
CORZ,2,-33.14502705492288,-16.57251352746144,0.0,-20.598296257019,-0.08574439196263012,0.0,0.12359490666401665,2
RKLB,2,-42.597965937750615,-21.298982968875308,0.0,-24.845130641392274,-0.0937289626688772,0.0,0.1588440889014534,2
